model,checkpoint_sha256,split_hash,filename,mse,cc,sim
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019456.jpg,0.09996617585420609,0.5893422365188599,0.5840040445327759
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019523.jpg,0.10299936681985855,0.6048400402069092,0.578311562538147
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019544.jpg,0.06776727735996246,0.681027889251709,0.693793535232544
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019624.jpg,0.10041787475347519,0.38474851846694946,0.5983629822731018
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019631.jpg,0.08090401440858841,0.6323689222335815,0.6216098666191101
center,not_applicable,7ad21b6a799f,COCO_val2014_000000019763.jpg,0.05597953870892525,0.7050075531005859,0.7149786949157715
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020038.jpg,0.09516877681016922,0.587094783782959,0.6498850584030151
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020161.jpg,0.14012596011161804,0.47391220927238464,0.37886205315589905
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020268.jpg,0.131562277674675,0.5516400337219238,0.5031672716140747
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020273.jpg,0.16510067880153656,0.1124582588672638,0.32173705101013184
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020410.jpg,0.12306713312864304,0.3315052092075348,0.5463367700576782
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020485.jpg,0.08546328544616699,0.5833296179771423,0.5868103504180908
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020641.jpg,0.09768668562173843,0.6370356678962708,0.5655574798583984
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020646.jpg,0.125570610165596,0.4431127905845642,0.5431461334228516
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020650.jpg,0.0616903081536293,0.7268739938735962,0.7236701250076294
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020748.jpg,0.1100754588842392,0.6699978709220886,0.59038907289505
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020784.jpg,0.12103046476840973,0.5302313566207886,0.39973753690719604
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020925.jpg,0.1454273760318756,0.4284679591655731,0.33984553813934326
center,not_applicable,7ad21b6a799f,COCO_val2014_000000020979.jpg,0.08152300119400024,0.7497205138206482,0.6376795172691345
